MarketSegmentID;SecurityID;ExecID;ApplSeqNum;PartitionID;CompletionIndicator;TradeCondition;AggressorSide;LastQty;LastPx;RestingHiddenQty;RestingCxlQty;RequestTime;AggressorTime;TransactTime;EOBICaptTime;ETICaptTime
52836;2504929;1534402940463617562;211880;58;1;255;2;41;3763000000;;0;1534402940463573224;1534402940463613560;1534402940463649634;1534402940463651166;
52762;2504855;1534402940488523020;1253134;56;1;255;2;221;1631500000;;0;1534402940488509551;1534402940488519158;1534402940488553224;1534402940488554853;1534402940488508440
52795;2504888;1534402940525738799;39268;54;0;255;2;1389;995600000;;0;1534402940525689551;1534402940525734078;1534402940525785208;1534402940525786595;
52795;2504888;1534402940525838241;39272;54;1;255;1;3200;995600000;;0;1534402940525798277;1534402940525828426;1534402940525889614;1534402940525891058;1534402940525797130
52795;2504888;1534402940525894743;39274;54;1;255;1;1661;995600000;;0;1534402940525807641;1534402940525839423;1534402940525931863;1534402940525933438;1534402940525806502
52795;2504888;1534402940525948531;39276;54;1;255;2;345;995500000;;0;1534402940525812767;1534402940525852464;1534402940525986583;1534402940525988107;1534402940525811613
52807;2504900;1534402940660288386;36344;53;1;255;2;100;8186000000;;0;1534402940660263769;1534402940660283744;1534402940660326134;1534402940660327851;1534402940660262595
52859;2504952;1534402940772797681;1253326;56;1;255;2;90;6555000000;;0;1534402940772781141;1534402940772793294;1534402940772831142;1534402940772833052;1534402940772780023
52719;2504812;1534402940921968429;212033;58;1;255;2;709;1918000000;;0;1534402940921950065;1534402940921960892;1534402940922000705;1534402940922002270;1534402940921948944
52719;2504812;1534402940922023848;212034;58;1;255;2;391;1918000000;;0;1534402940922007271;1534402940922018799;1534402940922057507;1534402940922058939;1534402940922006164
52719;2504812;1534402940926886777;212056;58;1;255;2;92;1916500000;;0;1534402940926874503;1534402940926883518;1534402940926913012;1534402940926914528;1534402940926873382
52719;2504812;1534402940929059371;212061;58;0;255;2;176;1915500000;;0;1534402940929044611;1534402940929055631;1534402940929093639;1534402940929095278;1534402940929043495
52719;2504812;1534402940933859920;212086;58;1;255;2;14;1915500000;;0;1534402940933841311;1534402940933855691;1534402940933884826;1534402940933886211;1534402940933840181
52807;2504900;1534402941084203423;36375;53;1;255;1;51;8190000000;;0;1534402941084187717;1534402941084200087;1534402941084238510;1534402941084240444;1534402941084186539
52807;2504900;1534402941084287804;36378;53;1;255;1;49;8190000000;;0;1534402941084266617;1534402941084276921;1534402941084323301;1534402941084324918;1534402941084265447
52306;2504399;1534402941134165426;1253478;56;1;255;2;291;1075000000;;0;1534402941134112195;1534402941134160878;1534402941134191800;1534402941134193308;
52807;2504900;1534402941168427864;36387;53;1;255;2;100;8186000000;;0;1534402941168409683;1534402941168424652;1534402941168466585;1534402941168468037;1534402941168408515
52836;2504929;1534402941261117800;212130;58;0;255;2;1500;3758000000;;0;1534402941261063083;1534402941261112778;1534402941261158640;1534402941261160167;1534402941261010372
52836;2504929;1534402941269448715;212145;58;1;255;2;50;3758000000;;0;1534402941269434995;1534402941269445120;1534402941269475095;1534402941269476643;1534402941269433889
52836;2504929;1534402941269470987;212146;58;1;255;2;50;3758000000;;0;1534402941269442767;1534402941269451880;1534402941269495846;1534402941269497245;1534402941269441652
52836;2504929;1534402941269492177;212147;58;1;255;2;50;3758000000;;0;1534402941269446843;1534402941269455663;1534402941269517234;1534402941269518678;1534402941269445748
52836;2504929;1534402941269521491;212148;58;1;255;2;137;3758000000;;0;1534402941269480891;1534402941269492229;1534402941269545054;1534402941269546490;1534402941269479788
53021;2505114;1534402941370850360;41618;52;0;255;1;600;14020000000;;0;1534402941370783792;1534402941370846641;1534402941370898899;1534402941370900374;
57618;2570805;1534402941397732304;304094;80;0;255;1;713;1948000000;;0;1534402941397644467;1534402941397719018;1534402941397813955;1534402941397815573;
52837;2504930;1534402941558013560;1253632;56;1;255;2;75;4080000000;;0;1534402941557997779;1534402941558009770;1534402941558049797;1534402941558051288;1534402941557996662
52837;2504930;1534402941564924318;1253649;56;1;255;2;52;4078000000;;0;1534402941564908601;1534402941564919663;1534402941564956941;1534402941564958276;1534402941564907487
52463;2504556;1534402941589895848;212221;58;0;255;2;163;4232000000;;0;1534402941589849262;1534402941589892004;1534402941589929985;1534402941589931451;
52807;2504900;1534402941663932991;36424;53;1;255;2;74;8185000000;;0;1534402941663909883;1534402941663929020;1534402941663972362;1534402941663973703;1534402941663908704
52762;2504855;1534402941851482083;1253822;56;1;255;2;313;1628500000;;0;1534402941851466469;1534402941851476927;1534402941851511829;1534402941851513507;1534402941851465359
52840;2504933;1534402941938650957;39425;54;0;255;1;91;18485000000;;0;1534402941938604367;1534402941938645991;1534402941938688816;1534402941938690127;1534402941938552670
52840;2504933;1534402941960675461;39437;54;1;255;1;18;18485000000;;0;1534402941960637577;1534402941960671751;1534402941960711257;1534402941960712756;1534402941960583120
52840;2504933;1534402941960808409;39440;54;1;255;2;14;18480000000;;0;1534402941960789569;1534402941960804166;1534402941960839056;1534402941960840455;1534402941960788428
52840;2504933;1534402941969766074;39451;54;1;255;1;54;18485000000;;0;1534402941969732471;1534402941969762776;1534402941969795598;1534402941969797099;1534402941969681376
57642;2570909;1534402941983168672;304109;80;1;255;1;304;2516000000;;0;1534402941983098650;1534402941983155846;1534402941983215007;1534402941983216597;
52399;2504492;1534402942017855270;1253913;56;1;255;2;55;360700000;;0;1534402942017810268;1534402942017850531;1534402942017886396;1534402942017887685;
52720;2504813;1534402942047214493;212353;58;1;255;2;33;3815000000;;0;1534402942047200241;1534402942047209870;1534402942047243902;1534402942047245375;1534402942047199136
52720;2504813;1534402942047272498;212354;58;0;255;2;100;3811000000;;0;1534402942047258555;1534402942047267650;1534402942047307469;1534402942047308895;1534402942047257453
52720;2504813;1534402942047343052;212358;58;1;255;2;17;3811000000;;0;1534402942047319039;1534402942047327741;1534402942047377439;1534402942047378968;1534402942047317922
52720;2504813;1534402942047391811;212360;58;1;255;2;33;3810000000;;0;1534402942047328785;1534402942047344144;1534402942047424781;1534402942047426309;1534402942047327682
52720;2504813;1534402942079511862;212465;58;1;255;2;1;3809000000;;0;1534402942079468138;1534402942079508227;1534402942079545725;1534402942079547163;1534402942079417214
52807;2504900;1534402942163397734;36464;53;1;255;2;76;8183000000;;0;1534402942163373433;1534402942163394286;1534402942163436664;1534402942163438165;1534402942163372286
52807;2504900;1534402942163518897;36468;53;0;255;1;181;8187000000;;0;1534402942163493701;1534402942163506491;1534402942163562786;1534402942163564245;1534402942163492541
52807;2504900;1534402942163644485;36476;53;1;255;1;32;8186000000;;0;1534402942163591415;1534402942163603007;1534402942163676755;1534402942163678340;1534402942163590264
52807;2504900;1534402942163704817;36479;53;1;255;1;49;8186000000;;0;1534402942163616761;1534402942163667448;1534402942163739863;1534402942163741461;1534402942163615614
52807;2504900;1534402942172450390;36491;53;1;255;1;100;8187000000;;0;1534402942172437541;1534402942172447312;1534402942172482071;1534402942172483533;1534402942172436405
57618;2570805;1534402942199017243;304121;80;0;255;1;678;1950000000;;0;1534402942198946169;1534402942199004103;1534402942199092791;1534402942199094472;
52795;2504888;1534402942253836835;39497;54;1;255;1;1000;996400000;;0;1534402942253819481;1534402942253829693;1534402942253874020;1534402942253875601;1534402942253818331
52795;2504888;1534402942253869735;39498;54;0;255;1;332;996600000;;0;1534402942253830165;1534402942253838837;1534402942253914792;1534402942253916327;1534402942253829019
52795;2504888;1534402942253908569;39500;54;1;255;1;318;996700000;;0;1534402942253837541;1534402942253846770;1534402942253947240;1534402942253948721;1534402942253836418
52795;2504888;1534402942254034522;39504;54;1;255;1;682;996700000;;0;1534402942253971853;1534402942253986851;1534402942254076655;1534402942254078241;1534402942253970714
52807;2504900;1534402942631739304;36523;53;0;255;2;147;8185000000;;0;1534402942631690669;1534402942631734345;1534402942631774812;1534402942631776596;
52807;2504900;1534402942631803152;36525;53;1;255;2;2;8185000000;;0;1534402942631782725;1534402942631793662;1534402942631841189;1534402942631842652;1534402942631781562
52949;2505042;1534402942742800695;1254248;56;1;255;2;321;1966000000;;0;1534402942742754431;1534402942742796202;1534402942742831333;1534402942742832792;1534402942742705576
52949;2505042;1534402942753125229;1254265;56;1;255;2;60;1966000000;;0;1534402942753083144;1534402942753120359;1534402942753150807;1534402942753152388;
52767;2504860;1534402942816832027;212816;58;1;255;2;14;12050000000;;0;1534402942816787951;1534402942816827031;1534402942816862987;1534402942816864462;
52807;2504900;1534402943164550956;36544;53;1;255;2;25;8183000000;;0;1534402943164530083;1534402943164547113;1534402943164589013;1534402943164590387;1534402943164528921
52807;2504900;1534402943171590298;36556;53;1;255;1;100;8186000000;;0;1534402943171572193;1534402943171585916;1534402943171622747;1534402943171624304;1534402943171571035
52807;2504900;1534402943178452814;36563;53;1;255;1;100;8187000000;;0;1534402943178438835;1534402943178449678;1534402943178486168;1534402943178487608;1534402943178437680
